Model,AUC-ROC,AUC-PR,Precision,Recall,F1-Score,TP,FP,TN,FN
Gradient Boosting,0.8004496611642908,0.13708622762352582,0.27835051546391754,0.08231707317073171,0.12705882352941175,27,70,9806,301
LightGBM,0.7856209682995979,0.16697934016755228,0.10753380553766903,0.5091463414634146,0.17756512493354598,167,1386,8490,161
Random Forest,0.7853173559454307,0.1604528222984398,0.13773796192609183,0.375,0.20147420147420148,123,770,9106,205
XGBoost,0.7837736715763269,0.17228366466097103,0.11824817518248175,0.49390243902439024,0.19081272084805653,162,1208,8668,166
Logistic Regression,0.7434838336840234,0.10696441153806945,0.07479338842975207,0.551829268292683,0.1317321688500728,181,2239,7637,147
